dimension,judge,model,beta,theta,optimizer_success,n_comparisons
faithfulness,gpt-3.5-turbo,GPT4o-mini,-0.1652784474980726,0.8476576430742055,True,100
faithfulness,gpt-3.5-turbo,checkpoint-1000-inputs-refs-preds-1000-examples,-0.6348294426606054,0.5300258804128052,True,100
faithfulness,gpt-3.5-turbo,checkpoint-10000-inputs-refs-preds-1000-examples,-0.035251349934381226,0.9653627418989217,True,100
faithfulness,gpt-3.5-turbo,checkpoint-1500-inputs-refs-preds-1000-examples,1.4982689037288242,4.473937546352712,True,100
faithfulness,gpt-3.5-turbo,checkpoint-2000-inputs-refs-preds-1000-examples,0.23727785695913348,1.2677933340407537,True,100
faithfulness,gpt-3.5-turbo,checkpoint-2500-inputs-refs-preds-1000-examples,0.2279428596942363,1.256013554383313,True,100
faithfulness,gpt-3.5-turbo,checkpoint-3000-inputs-refs-preds-1000-examples,0.6208159406974233,1.8604454358568445,True,100
faithfulness,gpt-3.5-turbo,checkpoint-3500-inputs-refs-preds-1000-examples,0.018877155508206928,1.0190564554555415,True,100
faithfulness,gpt-3.5-turbo,checkpoint-4000-inputs-refs-preds-1000-examples,-0.22005758353715507,0.8024725874219544,True,100
faithfulness,gpt-3.5-turbo,checkpoint-4500-inputs-refs-preds-1000-examples,-0.17731243111693862,0.8375180769340927,True,100
faithfulness,gpt-3.5-turbo,checkpoint-5000-inputs-refs-preds-1000-examples,-0.5722805015430185,0.5642372265072118,True,100
faithfulness,gpt-3.5-turbo,checkpoint-5500-inputs-refs-preds-1000-examples,0.47721641026199213,1.6115821692384922,True,100
faithfulness,gpt-3.5-turbo,checkpoint-6000-inputs-refs-preds-1000-examples,0.47098205495232215,1.6015662472338672,True,100
faithfulness,gpt-3.5-turbo,checkpoint-6500-inputs-refs-preds-1000-examples,0.3672031373621317,1.4436911569437445,True,100
faithfulness,gpt-3.5-turbo,checkpoint-7000-inputs-refs-preds-1000-examples,0.17916211635229937,1.196214654405788,True,100
faithfulness,gpt-3.5-turbo,checkpoint-7500-inputs-refs-preds-1000-examples,-0.056957736982279475,0.9446339916060269,True,100
faithfulness,gpt-3.5-turbo,checkpoint-8000-inputs-refs-preds-1000-examples,-0.5731967270372597,0.5637204947330469,True,100
faithfulness,gpt-3.5-turbo,checkpoint-8500-inputs-refs-preds-1000-examples,-1.2115287686452896,0.29774175306491507,True,100
faithfulness,gpt-3.5-turbo,checkpoint-9000-inputs-refs-preds-1000-examples,0.6493074051639341,1.9142145946519977,True,100
faithfulness,gpt-3.5-turbo,checkpoint-9500-inputs-refs-preds-1000-examples,-1.1003608517255046,0.3327509882627822,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,0.5840781066583889,1.793336957937694,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-1000-inputs-refs-preds-1000-examples,1.1218145980364422,3.070420730689682,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-10000-inputs-refs-preds-1000-examples,0.7572239084459664,2.132348401831557,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-1500-inputs-refs-preds-1000-examples,-0.7499985896762595,0.472367218931248,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-2000-inputs-refs-preds-1000-examples,-1.2667450102539255,0.28174721514275886,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-2500-inputs-refs-preds-1000-examples,0.5268374006798641,1.6935677538942895,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-3000-inputs-refs-preds-1000-examples,-0.0829898915146231,0.9203604506232596,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-3500-inputs-refs-preds-1000-examples,0.8882797217228435,2.430944151792832,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-4000-inputs-refs-preds-1000-examples,0.06561548290394115,1.0678160446911298,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-4500-inputs-refs-preds-1000-examples,-1.1272043437409724,0.3239376099091745,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-5000-inputs-refs-preds-1000-examples,-0.12273498921129777,0.884498033025436,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-5500-inputs-refs-preds-1000-examples,0.14162940442848027,1.1521495878735033,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-6000-inputs-refs-preds-1000-examples,-0.023531967409865295,0.9767427502339346,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-6500-inputs-refs-preds-1000-examples,-0.22283073004022158,0.8002502961661322,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-7000-inputs-refs-preds-1000-examples,0.009788941411262964,1.009837009816477,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-7500-inputs-refs-preds-1000-examples,0.26047836884659475,1.2975506460317443,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-8000-inputs-refs-preds-1000-examples,-1.1610804208124246,0.31314766679013684,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-8500-inputs-refs-preds-1000-examples,-1.1708990129700834,0.3100880427452801,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-9000-inputs-refs-preds-1000-examples,0.49701556292649146,1.6438081009856351,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-9500-inputs-refs-preds-1000-examples,1.0752534595693977,2.9307356293945017,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,GPT4o-mini,0.32391071126410514,1.3825238578006374,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-1000-inputs-refs-preds-1000-examples,0.08421017717960144,1.0878575126065655,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-10000-inputs-refs-preds-1000-examples,0.23312581486651446,1.2625403156763508,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-1500-inputs-refs-preds-1000-examples,-0.09708361352881434,0.9074801253453776,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-2000-inputs-refs-preds-1000-examples,-0.13436079044351223,0.8742745777817718,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-2500-inputs-refs-preds-1000-examples,0.2961252267531104,1.3446385310067022,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-3000-inputs-refs-preds-1000-examples,-0.3089835578150601,0.7341928416615052,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-3500-inputs-refs-preds-1000-examples,-0.1737936333539991,0.8404703248050199,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-4000-inputs-refs-preds-1000-examples,-0.038098587273736884,0.9626180343253325,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-4500-inputs-refs-preds-1000-examples,-0.1731756835681036,0.8409898537671578,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-5000-inputs-refs-preds-1000-examples,-1.6670483142152976,0.18880353268031688,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-5500-inputs-refs-preds-1000-examples,1.103216731915985,3.0138451799554615,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-6000-inputs-refs-preds-1000-examples,-0.5085746398962034,0.6013521115415865,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-6500-inputs-refs-preds-1000-examples,-0.10451160528190401,0.9007643437220864,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-7000-inputs-refs-preds-1000-examples,-0.3575787841984586,0.6993675976565931,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-7500-inputs-refs-preds-1000-examples,0.7035194997193333,2.0208525962587376,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-8000-inputs-refs-preds-1000-examples,-0.756477579428922,0.4693166495354432,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-8500-inputs-refs-preds-1000-examples,-0.5013102073094424,0.6057364991799519,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-9000-inputs-refs-preds-1000-examples,1.1284207671622626,3.0907715959411433,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-9500-inputs-refs-preds-1000-examples,0.9484680674525416,2.581751559075833,True,100
faithfulness,mistral-medium-latest,GPT4o-mini,0.917743976297797,2.5036357522375696,True,100
faithfulness,mistral-medium-latest,checkpoint-1000-inputs-refs-preds-1000-examples,0.51312720535157,1.6705070537627769,True,100
faithfulness,mistral-medium-latest,checkpoint-10000-inputs-refs-preds-1000-examples,-0.389544302306412,0.6773654780639276,True,100
faithfulness,mistral-medium-latest,checkpoint-1500-inputs-refs-preds-1000-examples,0.3741678165704744,1.4537810985451924,True,100
faithfulness,mistral-medium-latest,checkpoint-2000-inputs-refs-preds-1000-examples,-0.7214026106267901,0.48607001064726035,True,100
faithfulness,mistral-medium-latest,checkpoint-2500-inputs-refs-preds-1000-examples,0.40433683941460974,1.4983085513433843,True,100
faithfulness,mistral-medium-latest,checkpoint-3000-inputs-refs-preds-1000-examples,0.3834394013706408,1.4673226320142172,True,100
faithfulness,mistral-medium-latest,checkpoint-3500-inputs-refs-preds-1000-examples,0.03272608250558462,1.0332674704377633,True,100
faithfulness,mistral-medium-latest,checkpoint-4000-inputs-refs-preds-1000-examples,0.3463236527195612,1.4138601414538357,True,100
