model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,256,0.74609375
checkpoint-1000-gen1-inputs-refs-preds-1000-examples,0,,176,0.375
checkpoint-1000-inputs-refs-preds-1000-examples,0,,704,0.640625
checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0,,368,0.5081521739130435
checkpoint-10000-inputs-refs-preds-1000-examples,0,,384,0.5403645833333334
checkpoint-1500-gen1-inputs-refs-preds-1000-examples,0,,240,0.3625
checkpoint-1500-inputs-refs-preds-1000-examples,0,,352,0.5
checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0,,384,0.44921875
checkpoint-2000-inputs-refs-preds-1000-examples,0,,160,0.75625
checkpoint-2500-gen1-inputs-refs-preds-1000-examples,0,,512,0.458984375
checkpoint-2500-inputs-refs-preds-1000-examples,0,,448,0.6640625
checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0,,432,0.4652777777777778
checkpoint-3000-inputs-refs-preds-1000-examples,0,,544,0.5523897058823529
checkpoint-3500-gen1-inputs-refs-preds-1000-examples,0,,208,0.40384615384615385
checkpoint-3500-inputs-refs-preds-1000-examples,0,,560,0.55625
checkpoint-4000-gen1-inputs-refs-preds-1000-examples,0,,608,0.4004934210526316
checkpoint-4000-inputs-refs-preds-1000-examples,0,,528,0.521780303030303
checkpoint-4500-gen1-inputs-refs-preds-1000-examples,0,,560,0.46517857142857144
checkpoint-4500-inputs-refs-preds-1000-examples,0,,384,0.546875
checkpoint-500-gen1-inputs-refs-preds-1000-examples,0,,400,0.44125
checkpoint-500-inputs-refs-preds-1000-examples,0,,272,0.4577205882352941
checkpoint-5000-gen1-inputs-refs-preds-1000-examples,0,,384,0.453125
checkpoint-5000-inputs-refs-preds-1000-examples,0,,560,0.49375
checkpoint-5500-gen1-inputs-refs-preds-1000-examples,0,,352,0.47301136363636365
checkpoint-5500-inputs-refs-preds-1000-examples,0,,512,0.5322265625
checkpoint-6000-gen1-inputs-refs-preds-1000-examples,0,,272,0.3400735294117647
checkpoint-6000-inputs-refs-preds-1000-examples,0,,464,0.5549568965517241
checkpoint-6500-gen1-inputs-refs-preds-1000-examples,0,,368,0.4388586956521739
checkpoint-6500-inputs-refs-preds-1000-examples,0,,512,0.6201171875
checkpoint-7000-gen1-inputs-refs-preds-1000-examples,0,,528,0.4384469696969697
checkpoint-7000-inputs-refs-preds-1000-examples,0,,176,0.5
checkpoint-7500-gen1-inputs-refs-preds-1000-examples,0,,400,0.45875
checkpoint-7500-inputs-refs-preds-1000-examples,0,,352,0.5553977272727273
checkpoint-8000-gen1-inputs-refs-preds-1000-examples,0,,560,0.3767857142857143
checkpoint-8000-inputs-refs-preds-1000-examples,0,,160,0.55
checkpoint-8500-gen1-inputs-refs-preds-1000-examples,0,,480,0.39375
checkpoint-8500-inputs-refs-preds-1000-examples,0,,416,0.5216346153846154
checkpoint-9000-gen1-inputs-refs-preds-1000-examples,0,,576,0.5086805555555556
checkpoint-9000-inputs-refs-preds-1000-examples,0,,288,0.5694444444444444
checkpoint-9500-gen1-inputs-refs-preds-1000-examples,0,,432,0.41203703703703703
checkpoint-9500-inputs-refs-preds-1000-examples,0,,368,0.5
