model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,256,0.74609375
checkpoint-1000-gen1-inputs-refs-preds-1000-examples,0,,416,0.34375
checkpoint-1000-inputs-refs-preds-1000-examples,0,,704,0.640625
checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0,,416,0.4963942307692308
checkpoint-10000-inputs-refs-preds-1000-examples,0,,400,0.54375
checkpoint-1500-gen1-inputs-refs-preds-1000-examples,0,,416,0.3329326923076923
checkpoint-1500-inputs-refs-preds-1000-examples,0,,416,0.49278846153846156
checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0,,432,0.46875
checkpoint-2000-inputs-refs-preds-1000-examples,0,,416,0.6442307692307693
checkpoint-2500-gen1-inputs-refs-preds-1000-examples,0,,544,0.4568014705882353
checkpoint-2500-inputs-refs-preds-1000-examples,0,,448,0.6640625
checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0,,464,0.46120689655172414
checkpoint-3000-inputs-refs-preds-1000-examples,0,,544,0.5523897058823529
checkpoint-3500-gen1-inputs-refs-preds-1000-examples,0,,416,0.41225961538461536
checkpoint-3500-inputs-refs-preds-1000-examples,0,,576,0.5685763888888888
checkpoint-4000-gen1-inputs-refs-preds-1000-examples,0,,624,0.4078525641025641
checkpoint-4000-inputs-refs-preds-1000-examples,0,,592,0.5152027027027027
checkpoint-4500-gen1-inputs-refs-preds-1000-examples,0,,576,0.4609375
checkpoint-4500-inputs-refs-preds-1000-examples,0,,432,0.5428240740740741
checkpoint-500-gen1-inputs-refs-preds-1000-examples,0,,432,0.44212962962962965
checkpoint-500-inputs-refs-preds-1000-examples,0,,400,0.4975
checkpoint-5000-gen1-inputs-refs-preds-1000-examples,0,,448,0.4330357142857143
checkpoint-5000-inputs-refs-preds-1000-examples,0,,576,0.4930555555555556
checkpoint-5500-gen1-inputs-refs-preds-1000-examples,0,,416,0.49038461538461536
checkpoint-5500-inputs-refs-preds-1000-examples,0,,544,0.5238970588235294
checkpoint-6000-gen1-inputs-refs-preds-1000-examples,0,,432,0.41203703703703703
checkpoint-6000-inputs-refs-preds-1000-examples,0,,496,0.5665322580645161
checkpoint-6500-gen1-inputs-refs-preds-1000-examples,0,,432,0.39699074074074076
checkpoint-6500-inputs-refs-preds-1000-examples,0,,528,0.6098484848484849
checkpoint-7000-gen1-inputs-refs-preds-1000-examples,0,,528,0.4384469696969697
checkpoint-7000-inputs-refs-preds-1000-examples,0,,400,0.59
checkpoint-7500-gen1-inputs-refs-preds-1000-examples,0,,464,0.4644396551724138
checkpoint-7500-inputs-refs-preds-1000-examples,0,,432,0.5972222222222222
checkpoint-8000-gen1-inputs-refs-preds-1000-examples,0,,560,0.3767857142857143
checkpoint-8000-inputs-refs-preds-1000-examples,0,,400,0.58625
checkpoint-8500-gen1-inputs-refs-preds-1000-examples,0,,496,0.3870967741935484
checkpoint-8500-inputs-refs-preds-1000-examples,0,,448,0.5178571428571429
checkpoint-9000-gen1-inputs-refs-preds-1000-examples,0,,608,0.5197368421052632
checkpoint-9000-inputs-refs-preds-1000-examples,0,,400,0.55125
checkpoint-9500-gen1-inputs-refs-preds-1000-examples,0,,464,0.41810344827586204
checkpoint-9500-inputs-refs-preds-1000-examples,0,,432,0.5081018518518519
