model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,0,
checkpoint-1000-gen1-inputs-refs-preds-1000-examples,0,,240,0.32083333333333336
checkpoint-1000-inputs-refs-preds-1000-examples,0,,0,
checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0,,48,0.40625
checkpoint-10000-inputs-refs-preds-1000-examples,0,,16,0.625
checkpoint-1500-gen1-inputs-refs-preds-1000-examples,0,,176,0.29261363636363635
checkpoint-1500-inputs-refs-preds-1000-examples,0,,64,0.4375
checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0,,48,0.625
checkpoint-2000-inputs-refs-preds-1000-examples,0,,256,0.57421875
checkpoint-2500-gen1-inputs-refs-preds-1000-examples,0,,32,0.421875
checkpoint-2500-inputs-refs-preds-1000-examples,0,,0,
checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0,,32,0.40625
checkpoint-3000-inputs-refs-preds-1000-examples,0,,0,
checkpoint-3500-gen1-inputs-refs-preds-1000-examples,0,,208,0.4206730769230769
checkpoint-3500-inputs-refs-preds-1000-examples,0,,16,1.0
checkpoint-4000-gen1-inputs-refs-preds-1000-examples,0,,16,0.6875
checkpoint-4000-inputs-refs-preds-1000-examples,0,,64,0.4609375
checkpoint-4500-gen1-inputs-refs-preds-1000-examples,0,,16,0.34375
checkpoint-4500-inputs-refs-preds-1000-examples,0,,48,0.5104166666666666
checkpoint-500-gen1-inputs-refs-preds-1000-examples,0,,32,0.453125
checkpoint-500-inputs-refs-preds-1000-examples,0,,128,0.58203125
checkpoint-5000-gen1-inputs-refs-preds-1000-examples,0,,64,0.3125
checkpoint-5000-inputs-refs-preds-1000-examples,0,,16,0.46875
checkpoint-5500-gen1-inputs-refs-preds-1000-examples,0,,64,0.5859375
checkpoint-5500-inputs-refs-preds-1000-examples,0,,32,0.390625
checkpoint-6000-gen1-inputs-refs-preds-1000-examples,0,,160,0.534375
checkpoint-6000-inputs-refs-preds-1000-examples,0,,32,0.734375
checkpoint-6500-gen1-inputs-refs-preds-1000-examples,0,,64,0.15625
checkpoint-6500-inputs-refs-preds-1000-examples,0,,16,0.28125
checkpoint-7000-gen1-inputs-refs-preds-1000-examples,0,,0,
checkpoint-7000-inputs-refs-preds-1000-examples,0,,224,0.6607142857142857
checkpoint-7500-gen1-inputs-refs-preds-1000-examples,0,,64,0.5
checkpoint-7500-inputs-refs-preds-1000-examples,0,,80,0.78125
checkpoint-8000-gen1-inputs-refs-preds-1000-examples,0,,0,
checkpoint-8000-inputs-refs-preds-1000-examples,0,,240,0.6104166666666667
checkpoint-8500-gen1-inputs-refs-preds-1000-examples,0,,16,0.1875
checkpoint-8500-inputs-refs-preds-1000-examples,0,,32,0.46875
checkpoint-9000-gen1-inputs-refs-preds-1000-examples,0,,32,0.71875
checkpoint-9000-inputs-refs-preds-1000-examples,0,,112,0.5089285714285714
checkpoint-9500-gen1-inputs-refs-preds-1000-examples,0,,32,0.5
checkpoint-9500-inputs-refs-preds-1000-examples,0,,64,0.5546875
