dimension,judge,model,beta,theta,optimizer_success,n_comparisons
faithfulness,mistral-medium-latest,GPT4o-mini,3.2956967860436803,26.99621810595245,True,100
faithfulness,mistral-medium-latest,checkpoint-1000-inputs-refs-preds-1000-examples,0.32630709992178364,1.3858408951604038,True,100
faithfulness,mistral-medium-latest,checkpoint-10000-inputs-refs-preds-1000-examples,0.19109118988574902,1.2105698387734372,True,100
faithfulness,mistral-medium-latest,checkpoint-1500-inputs-refs-preds-1000-examples,0.30764776632654467,1.3602217886295394,True,100
faithfulness,mistral-medium-latest,checkpoint-2000-inputs-refs-preds-1000-examples,-0.05768647267724436,0.9439458538633878,True,100
faithfulness,mistral-medium-latest,checkpoint-2500-inputs-refs-preds-1000-examples,-0.8392722721939485,0.4320248055231835,True,100
faithfulness,mistral-medium-latest,checkpoint-3000-inputs-refs-preds-1000-examples,-0.9156244369614788,0.400266606774576,True,100
faithfulness,mistral-medium-latest,checkpoint-3500-inputs-refs-preds-1000-examples,-0.7250110519193127,0.484319216268884,True,100
faithfulness,mistral-medium-latest,checkpoint-4000-inputs-refs-preds-1000-examples,0.09606582673133435,1.1008315257500825,True,100
faithfulness,mistral-medium-latest,checkpoint-4500-inputs-refs-preds-1000-examples,-0.10454467007904933,0.9007345606241742,True,100
faithfulness,mistral-medium-latest,checkpoint-5000-inputs-refs-preds-1000-examples,0.4757307432225115,1.6091896723951522,True,100
faithfulness,mistral-medium-latest,checkpoint-5500-inputs-refs-preds-1000-examples,-0.9964424093949207,0.36919053640237626,True,100
faithfulness,mistral-medium-latest,checkpoint-6000-inputs-refs-preds-1000-examples,-0.9182190912950183,0.39922939946784697,True,100
faithfulness,mistral-medium-latest,checkpoint-6500-inputs-refs-preds-1000-examples,-0.4968720649169853,0.6084308184794486,True,100
faithfulness,mistral-medium-latest,checkpoint-7000-inputs-refs-preds-1000-examples,0.00799828611640363,1.008030357856098,True,100
faithfulness,mistral-medium-latest,checkpoint-7500-inputs-refs-preds-1000-examples,0.44032953428257793,1.553218973086349,True,100
faithfulness,mistral-medium-latest,checkpoint-8000-inputs-refs-preds-1000-examples,-0.5804865652171842,0.5596260057610933,True,100
faithfulness,mistral-medium-latest,checkpoint-8500-inputs-refs-preds-1000-examples,0.781512136178486,2.184773443919859,True,100
faithfulness,mistral-medium-latest,checkpoint-9000-inputs-refs-preds-1000-examples,0.2697044545102978,1.309577353853349,True,100
faithfulness,mistral-medium-latest,checkpoint-9500-inputs-refs-preds-1000-examples,-0.5579247885642298,0.5723956742382095,True,100
correctness,mistral-medium-latest,GPT4o-mini,13.755420098359838,941679.3457901543,True,100
correctness,mistral-medium-latest,checkpoint-1000-inputs-refs-preds-1000-examples,-1.0677419253790728,0.34378393138847474,True,100
