model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,100,0.94
checkpoint-1000-inputs-refs-preds-1000-examples,0,,60,0.35
checkpoint-10000-inputs-refs-preds-1000-examples,0,,50,0.5
checkpoint-1500-inputs-refs-preds-1000-examples,0,,40,0.5375
checkpoint-2000-inputs-refs-preds-1000-examples,0,,70,0.4928571428571429
checkpoint-2500-inputs-refs-preds-1000-examples,0,,60,0.4083333333333333
checkpoint-3000-inputs-refs-preds-1000-examples,0,,65,0.47692307692307695
checkpoint-3500-inputs-refs-preds-1000-examples,0,,70,0.5285714285714286
checkpoint-4000-inputs-refs-preds-1000-examples,0,,40,0.2375
checkpoint-4500-inputs-refs-preds-1000-examples,0,,85,0.48823529411764705
checkpoint-5000-inputs-refs-preds-1000-examples,0,,60,0.525
checkpoint-5500-inputs-refs-preds-1000-examples,0,,80,0.375
checkpoint-6000-inputs-refs-preds-1000-examples,0,,80,0.4
checkpoint-6500-inputs-refs-preds-1000-examples,0,,70,0.35714285714285715
checkpoint-7000-inputs-refs-preds-1000-examples,0,,55,0.5454545454545454
checkpoint-7500-inputs-refs-preds-1000-examples,0,,55,0.5818181818181818
checkpoint-8000-inputs-refs-preds-1000-examples,0,,65,0.49230769230769234
checkpoint-8500-inputs-refs-preds-1000-examples,0,,55,0.5363636363636364
checkpoint-9000-inputs-refs-preds-1000-examples,0,,90,0.5777777777777777
checkpoint-9500-inputs-refs-preds-1000-examples,0,,100,0.415
