model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,640,0.76015625
checkpoint-1000-inputs-refs-preds-1000-examples,0,,620,0.4532258064516129
checkpoint-10000-inputs-refs-preds-1000-examples,0,,700,0.4735714285714286
checkpoint-1500-inputs-refs-preds-1000-examples,0,,480,0.5416666666666666
checkpoint-2000-inputs-refs-preds-1000-examples,0,,580,0.5310344827586206
checkpoint-2500-inputs-refs-preds-1000-examples,0,,420,0.44166666666666665
checkpoint-3000-inputs-refs-preds-1000-examples,0,,500,0.528
checkpoint-3500-inputs-refs-preds-1000-examples,0,,600,0.43833333333333335
checkpoint-4000-inputs-refs-preds-1000-examples,0,,460,0.4706521739130435
checkpoint-4500-inputs-refs-preds-1000-examples,0,,520,0.5355769230769231
checkpoint-5000-inputs-refs-preds-1000-examples,0,,540,0.462037037037037
checkpoint-5500-inputs-refs-preds-1000-examples,0,,520,0.4721153846153846
checkpoint-6000-inputs-refs-preds-1000-examples,0,,660,0.4712121212121212
checkpoint-6500-inputs-refs-preds-1000-examples,0,,500,0.509
checkpoint-7000-inputs-refs-preds-1000-examples,0,,500,0.523
checkpoint-7500-inputs-refs-preds-1000-examples,0,,680,0.4345588235294118
checkpoint-8000-inputs-refs-preds-1000-examples,0,,540,0.5287037037037037
checkpoint-8500-inputs-refs-preds-1000-examples,0,,680,0.45
checkpoint-9000-inputs-refs-preds-1000-examples,0,,580,0.49224137931034484
checkpoint-9500-inputs-refs-preds-1000-examples,0,,640,0.4859375
