model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,400,0.87125
checkpoint-1000-gen0-inputs-refs-preds-1000-examples,0,,416,0.6382211538461539
checkpoint-1000-gen1-inputs-refs-preds-1000-examples,0,,416,0.3641826923076923
checkpoint-10000-gen0-inputs-refs-preds-1000-examples,0,,400,0.67125
checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0,,416,0.3485576923076923
checkpoint-1500-gen0-inputs-refs-preds-1000-examples,0,,416,0.6875
checkpoint-1500-gen1-inputs-refs-preds-1000-examples,0,,400,0.38
checkpoint-2000-gen0-inputs-refs-preds-1000-examples,0,,416,0.5817307692307693
checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0,,400,0.36875
checkpoint-2500-gen0-inputs-refs-preds-1000-examples,0,,400,0.63875
checkpoint-2500-gen1-inputs-refs-preds-1000-examples,0,,400,0.1775
checkpoint-3000-gen0-inputs-refs-preds-1000-examples,0,,416,0.6165865384615384
checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0,,400,0.3175
checkpoint-3500-gen0-inputs-refs-preds-1000-examples,0,,416,0.578125
checkpoint-3500-gen1-inputs-refs-preds-1000-examples,0,,400,0.39125
checkpoint-4000-gen0-inputs-refs-preds-1000-examples,0,,416,0.6105769230769231
checkpoint-4000-gen1-inputs-refs-preds-1000-examples,0,,416,0.3545673076923077
checkpoint-4500-gen0-inputs-refs-preds-1000-examples,0,,400,0.5925
checkpoint-4500-gen1-inputs-refs-preds-1000-examples,0,,400,0.31
checkpoint-500-gen0-inputs-refs-preds-1000-examples,0,,400,0.53875
checkpoint-500-gen1-inputs-refs-preds-1000-examples,0,,416,0.3317307692307692
checkpoint-5000-gen0-inputs-refs-preds-1000-examples,0,,400,0.605
checkpoint-5000-gen1-inputs-refs-preds-1000-examples,0,,400,0.24625
checkpoint-5500-gen0-inputs-refs-preds-1000-examples,0,,400,0.67625
checkpoint-5500-gen1-inputs-refs-preds-1000-examples,0,,400,0.345
checkpoint-6000-gen0-inputs-refs-preds-1000-examples,0,,400,0.6525
checkpoint-6000-gen1-inputs-refs-preds-1000-examples,0,,400,0.3975
checkpoint-6500-gen0-inputs-refs-preds-1000-examples,0,,400,0.67
checkpoint-6500-gen1-inputs-refs-preds-1000-examples,0,,400,0.41875
checkpoint-7000-gen0-inputs-refs-preds-1000-examples,0,,416,0.6478365384615384
checkpoint-7000-gen1-inputs-refs-preds-1000-examples,0,,400,0.44875
checkpoint-7500-gen0-inputs-refs-preds-1000-examples,0,,416,0.6141826923076923
checkpoint-7500-gen1-inputs-refs-preds-1000-examples,0,,400,0.49
checkpoint-8000-gen0-inputs-refs-preds-1000-examples,0,,400,0.60625
checkpoint-8000-gen1-inputs-refs-preds-1000-examples,0,,400,0.4325
checkpoint-8500-gen0-inputs-refs-preds-1000-examples,0,,416,0.49158653846153844
checkpoint-8500-gen1-inputs-refs-preds-1000-examples,0,,400,0.36625
checkpoint-9000-gen0-inputs-refs-preds-1000-examples,0,,416,0.4987980769230769
checkpoint-9000-gen1-inputs-refs-preds-1000-examples,0,,416,0.5168269230769231
checkpoint-9500-gen0-inputs-refs-preds-1000-examples,0,,400,0.65
checkpoint-9500-gen1-inputs-refs-preds-1000-examples,0,,400,0.34125
