model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,400,0.96
checkpoint-1000-gen0-inputs-refs-preds-1000-examples,0,,416,0.6189903846153846
checkpoint-1000-gen1-inputs-refs-preds-1000-examples,0,,416,0.3401442307692308
checkpoint-10000-gen0-inputs-refs-preds-1000-examples,0,,400,0.56125
checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0,,416,0.5048076923076923
checkpoint-1500-gen0-inputs-refs-preds-1000-examples,0,,416,0.6117788461538461
checkpoint-1500-gen1-inputs-refs-preds-1000-examples,0,,400,0.3125
checkpoint-2000-gen0-inputs-refs-preds-1000-examples,0,,416,0.5865384615384616
checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0,,400,0.33
checkpoint-2500-gen0-inputs-refs-preds-1000-examples,0,,400,0.67875
checkpoint-2500-gen1-inputs-refs-preds-1000-examples,0,,400,0.31875
checkpoint-3000-gen0-inputs-refs-preds-1000-examples,0,,416,0.5877403846153846
checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0,,400,0.4
checkpoint-3500-gen0-inputs-refs-preds-1000-examples,0,,416,0.6334134615384616
checkpoint-3500-gen1-inputs-refs-preds-1000-examples,0,,400,0.41875
checkpoint-4000-gen0-inputs-refs-preds-1000-examples,0,,416,0.6490384615384616
checkpoint-4000-gen1-inputs-refs-preds-1000-examples,0,,416,0.328125
checkpoint-4500-gen0-inputs-refs-preds-1000-examples,0,,400,0.6425
checkpoint-4500-gen1-inputs-refs-preds-1000-examples,0,,400,0.3175
checkpoint-500-gen0-inputs-refs-preds-1000-examples,0,,400,0.7
checkpoint-500-gen1-inputs-refs-preds-1000-examples,0,,416,0.27524038461538464
checkpoint-5000-gen0-inputs-refs-preds-1000-examples,0,,400,0.645
checkpoint-5000-gen1-inputs-refs-preds-1000-examples,0,,400,0.43875
checkpoint-5500-gen0-inputs-refs-preds-1000-examples,0,,400,0.57875
checkpoint-5500-gen1-inputs-refs-preds-1000-examples,0,,400,0.38
checkpoint-6000-gen0-inputs-refs-preds-1000-examples,0,,400,0.37375
checkpoint-6000-gen1-inputs-refs-preds-1000-examples,0,,400,0.29125
checkpoint-6500-gen0-inputs-refs-preds-1000-examples,0,,400,0.3025
checkpoint-6500-gen1-inputs-refs-preds-1000-examples,0,,400,0.4125
checkpoint-7000-gen0-inputs-refs-preds-1000-examples,0,,416,0.6262019230769231
checkpoint-7000-gen1-inputs-refs-preds-1000-examples,0,,400,0.40875
checkpoint-7500-gen0-inputs-refs-preds-1000-examples,0,,416,0.5204326923076923
checkpoint-7500-gen1-inputs-refs-preds-1000-examples,0,,400,0.475
checkpoint-8000-gen0-inputs-refs-preds-1000-examples,0,,400,0.63
checkpoint-8000-gen1-inputs-refs-preds-1000-examples,0,,400,0.42625
checkpoint-8500-gen0-inputs-refs-preds-1000-examples,0,,416,0.5324519230769231
checkpoint-8500-gen1-inputs-refs-preds-1000-examples,0,,400,0.38125
checkpoint-9000-gen0-inputs-refs-preds-1000-examples,0,,416,0.5925480769230769
checkpoint-9000-gen1-inputs-refs-preds-1000-examples,0,,416,0.49038461538461536
checkpoint-9500-gen0-inputs-refs-preds-1000-examples,0,,400,0.7325
checkpoint-9500-gen1-inputs-refs-preds-1000-examples,0,,400,0.47
