dimension,judge,model,beta,theta,optimizer_success,n_comparisons
faithfulness,gpt-3.5-turbo,GPT4o-mini,14.542454724409616,2068749.185537642,True,100
faithfulness,gpt-3.5-turbo,checkpoint-1000-inputs-refs-preds-1000-examples,-1.4632711612401152,0.23147783359723978,True,100
faithfulness,gpt-3.5-turbo,checkpoint-1500-inputs-refs-preds-1000-examples,-1.0339350336017628,0.35560488659654127,True,100
faithfulness,gpt-3.5-turbo,checkpoint-2000-inputs-refs-preds-1000-examples,-2.0994262246584796,0.12252671089321888,True,100
faithfulness,gpt-3.5-turbo,checkpoint-2500-inputs-refs-preds-1000-examples,-0.8677683884453629,0.41988753035045595,True,100
faithfulness,gpt-3.5-turbo,checkpoint-3000-inputs-refs-preds-1000-examples,-0.8266372438288947,0.4375180819667187,True,100
faithfulness,gpt-3.5-turbo,checkpoint-3500-inputs-refs-preds-1000-examples,-0.8710197197306542,0.41852455383150855,True,100
faithfulness,gpt-3.5-turbo,checkpoint-4000-inputs-refs-preds-1000-examples,-1.092680869348161,0.3353163483395871,True,100
faithfulness,gpt-3.5-turbo,checkpoint-4500-inputs-refs-preds-1000-examples,-0.798000676713114,0.45022821662734763,True,100
faithfulness,gpt-3.5-turbo,checkpoint-5000-inputs-refs-preds-1000-examples,-1.1775771947473288,0.30802411773267213,True,100
faithfulness,gpt-3.5-turbo,checkpoint-5500-inputs-refs-preds-1000-examples,-1.2913968973963694,0.2748865264955597,True,100
faithfulness,gpt-3.5-turbo,checkpoint-6000-inputs-refs-preds-1000-examples,-1.5310848759075917,0.21630088036778122,True,100
faithfulness,gpt-3.5-turbo,checkpoint-6500-inputs-refs-preds-1000-examples,-1.4896564387917763,0.22545009814365202,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,13.673073444972575,867242.0908379821,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-1000-inputs-refs-preds-1000-examples,-1.0197974614195626,0.3606679819570138,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-1500-inputs-refs-preds-1000-examples,-1.4700574455856774,0.22991227736193437,True,100
