model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,360,0.9902777777777778
checkpoint-1000-inputs-refs-preds-1000-examples,0,,260,0.48653846153846153
checkpoint-1500-inputs-refs-preds-1000-examples,0,,240,0.41041666666666665
checkpoint-2000-inputs-refs-preds-1000-examples,0,,380,0.35
checkpoint-2500-inputs-refs-preds-1000-examples,0,,300,0.37833333333333335
checkpoint-3000-inputs-refs-preds-1000-examples,0,,240,0.5645833333333333
checkpoint-3500-inputs-refs-preds-1000-examples,0,,300,0.525
checkpoint-4000-inputs-refs-preds-1000-examples,0,,320,0.4296875
checkpoint-4500-inputs-refs-preds-1000-examples,0,,440,0.5170454545454546
checkpoint-5000-inputs-refs-preds-1000-examples,0,,380,0.5421052631578948
checkpoint-5500-inputs-refs-preds-1000-examples,0,,200,0.45
checkpoint-6000-inputs-refs-preds-1000-examples,0,,340,0.34852941176470587
checkpoint-6500-inputs-refs-preds-1000-examples,0,,240,0.41458333333333336
