model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,280,0.8
checkpoint-1000-inputs-refs-preds-1000-examples,0,,140,0.4142857142857143
checkpoint-10000-inputs-refs-preds-1000-examples,0,,200,0.5125
checkpoint-1500-inputs-refs-preds-1000-examples,0,,140,0.5142857142857142
checkpoint-2000-inputs-refs-preds-1000-examples,0,,260,0.3903846153846154
checkpoint-2500-inputs-refs-preds-1000-examples,0,,160,0.56875
checkpoint-3000-inputs-refs-preds-1000-examples,0,,180,0.49166666666666664
checkpoint-3500-inputs-refs-preds-1000-examples,0,,260,0.3769230769230769
checkpoint-4000-inputs-refs-preds-1000-examples,0,,100,0.41
checkpoint-4500-inputs-refs-preds-1000-examples,0,,260,0.3173076923076923
checkpoint-5000-inputs-refs-preds-1000-examples,0,,120,0.5416666666666666
checkpoint-5500-inputs-refs-preds-1000-examples,0,,240,0.6020833333333333
checkpoint-6000-inputs-refs-preds-1000-examples,0,,260,0.49230769230769234
checkpoint-6500-inputs-refs-preds-1000-examples,0,,220,0.4954545454545455
checkpoint-7000-inputs-refs-preds-1000-examples,0,,180,0.5666666666666667
checkpoint-7500-inputs-refs-preds-1000-examples,0,,160,0.5375
checkpoint-8000-inputs-refs-preds-1000-examples,0,,180,0.41388888888888886
checkpoint-8500-inputs-refs-preds-1000-examples,0,,140,0.45357142857142857
checkpoint-9000-inputs-refs-preds-1000-examples,0,,240,0.49375
checkpoint-9500-inputs-refs-preds-1000-examples,0,,280,0.5357142857142857
