dimension,judge,model,beta,theta,optimizer_success,n_comparisons
faithfulness,gpt-3.5-turbo,GPT4o-mini,2.648520314531013,14.133110607340091,True,100
faithfulness,gpt-3.5-turbo,checkpoint-1000-inputs-refs-preds-1000-examples,-0.7419789950678375,0.4761706431090015,True,100
faithfulness,gpt-3.5-turbo,checkpoint-1500-inputs-refs-preds-1000-examples,-0.8086764209434025,0.4454472608793904,True,100
faithfulness,gpt-3.5-turbo,checkpoint-2000-inputs-refs-preds-1000-examples,-0.660312941614988,0.5166896155059948,True,100
faithfulness,gpt-3.5-turbo,checkpoint-2500-inputs-refs-preds-1000-examples,-0.43755195690478343,0.6456149814003364,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,1.5253699389762165,4.596843806486896,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-1000-inputs-refs-preds-1000-examples,-0.1603768528390288,0.8518227166623831,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-1500-inputs-refs-preds-1000-examples,-0.6558908787866338,0.5189795087429006,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-2000-inputs-refs-preds-1000-examples,-0.25380341526627004,0.7758443062023411,True,100
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-2500-inputs-refs-preds-1000-examples,-0.45529879208428414,0.6342584282354081,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,GPT4o-mini,2.9754167158370928,19.597788256972564,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-1000-inputs-refs-preds-1000-examples,-0.6196005181798885,0.5381593795475665,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-1500-inputs-refs-preds-1000-examples,-0.6148133413436239,0.5407418200313605,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-2000-inputs-refs-preds-1000-examples,-1.0064289513495912,0.36552194836478746,True,100
faithfulness,anthropic/claude-3-5-haiku-20241022,checkpoint-2500-inputs-refs-preds-1000-examples,-0.7345739049639874,0.47970981740566876,True,100
faithfulness,mistral-medium-latest,GPT4o-mini,12.574327389380768,289042.0300966937,True,100
faithfulness,mistral-medium-latest,checkpoint-1000-inputs-refs-preds-1000-examples,-2.8249272880584684,0.05931296943381345,True,100
faithfulness,mistral-medium-latest,checkpoint-1500-inputs-refs-preds-1000-examples,-3.8391173113773487,0.021512581878174963,True,100
faithfulness,mistral-medium-latest,checkpoint-2000-inputs-refs-preds-1000-examples,-2.5937978635498204,0.07473566456111355,True,100
faithfulness,mistral-medium-latest,checkpoint-2500-inputs-refs-preds-1000-examples,-3.316484926395134,0.036280135228149664,True,100
correctness,gpt-3.5-turbo,GPT4o-mini,2.6519399704536655,14.181523713638073,True,100
correctness,gpt-3.5-turbo,checkpoint-1000-inputs-refs-preds-1000-examples,-0.6859632105129059,0.503604918332213,True,100
correctness,gpt-3.5-turbo,checkpoint-1500-inputs-refs-preds-1000-examples,-0.9137926908367189,0.40100046549664864,True,100
correctness,gpt-3.5-turbo,checkpoint-2000-inputs-refs-preds-1000-examples,-0.5986645708168878,0.5495450247542156,True,100
correctness,gpt-3.5-turbo,checkpoint-2500-inputs-refs-preds-1000-examples,-0.45351949828715465,0.6353879649133481,True,100
correctness,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,1.6118996296851953,5.0123237488244685,True,100
correctness,google/gemini-2.5-flash-preview-05-20,checkpoint-1000-inputs-refs-preds-1000-examples,-0.0793600875386189,0.9237072490828286,True,100
