model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,400,0.9675
checkpoint-1000-gen0-inputs-refs-preds-1000-examples,0,,416,0.546875
checkpoint-1000-gen1-inputs-refs-preds-1000-examples,0,,416,0.3870192307692308
checkpoint-10000-gen0-inputs-refs-preds-1000-examples,0,,400,0.7025
checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0,,416,0.5456730769230769
checkpoint-1500-gen0-inputs-refs-preds-1000-examples,0,,416,0.49158653846153844
checkpoint-1500-gen1-inputs-refs-preds-1000-examples,0,,400,0.26625
checkpoint-2000-gen0-inputs-refs-preds-1000-examples,0,,416,0.4639423076923077
checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0,,400,0.185
checkpoint-2500-gen0-inputs-refs-preds-1000-examples,0,,400,0.61
checkpoint-2500-gen1-inputs-refs-preds-1000-examples,0,,400,0.2575
checkpoint-3000-gen0-inputs-refs-preds-1000-examples,0,,416,0.5625
checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0,,400,0.2975
checkpoint-3500-gen0-inputs-refs-preds-1000-examples,0,,416,0.47716346153846156
checkpoint-3500-gen1-inputs-refs-preds-1000-examples,0,,400,0.1475
checkpoint-4000-gen0-inputs-refs-preds-1000-examples,0,,416,0.4735576923076923
checkpoint-4000-gen1-inputs-refs-preds-1000-examples,0,,416,0.34615384615384615
checkpoint-4500-gen0-inputs-refs-preds-1000-examples,0,,400,0.49
checkpoint-4500-gen1-inputs-refs-preds-1000-examples,0,,400,0.335
checkpoint-500-gen0-inputs-refs-preds-1000-examples,0,,400,0.65
checkpoint-500-gen1-inputs-refs-preds-1000-examples,0,,416,0.3473557692307692
checkpoint-5000-gen0-inputs-refs-preds-1000-examples,0,,400,0.46
checkpoint-5000-gen1-inputs-refs-preds-1000-examples,0,,400,0.42625
checkpoint-5500-gen0-inputs-refs-preds-1000-examples,0,,400,0.625
checkpoint-5500-gen1-inputs-refs-preds-1000-examples,0,,400,0.4175
checkpoint-6000-gen0-inputs-refs-preds-1000-examples,0,,400,0.6375
checkpoint-6000-gen1-inputs-refs-preds-1000-examples,0,,400,0.52125
checkpoint-6500-gen0-inputs-refs-preds-1000-examples,0,,400,0.52875
checkpoint-6500-gen1-inputs-refs-preds-1000-examples,0,,400,0.6375
checkpoint-7000-gen0-inputs-refs-preds-1000-examples,0,,416,0.5997596153846154
checkpoint-7000-gen1-inputs-refs-preds-1000-examples,0,,400,0.45625
checkpoint-7500-gen0-inputs-refs-preds-1000-examples,0,,416,0.5240384615384616
checkpoint-7500-gen1-inputs-refs-preds-1000-examples,0,,400,0.65
checkpoint-8000-gen0-inputs-refs-preds-1000-examples,0,,400,0.72875
checkpoint-8000-gen1-inputs-refs-preds-1000-examples,0,,400,0.535
checkpoint-8500-gen0-inputs-refs-preds-1000-examples,0,,416,0.4723557692307692
checkpoint-8500-gen1-inputs-refs-preds-1000-examples,0,,400,0.525
checkpoint-9000-gen0-inputs-refs-preds-1000-examples,0,,416,0.5889423076923077
checkpoint-9000-gen1-inputs-refs-preds-1000-examples,0,,416,0.515625
checkpoint-9500-gen0-inputs-refs-preds-1000-examples,0,,400,0.63
checkpoint-9500-gen1-inputs-refs-preds-1000-examples,0,,400,0.47625
