model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,280,0.8821428571428571
checkpoint-1000-inputs-refs-preds-1000-examples,0,,140,0.5214285714285715
checkpoint-10000-inputs-refs-preds-1000-examples,0,,200,0.5225
checkpoint-1500-inputs-refs-preds-1000-examples,0,,140,0.5357142857142857
checkpoint-2000-inputs-refs-preds-1000-examples,0,,260,0.4519230769230769
checkpoint-2500-inputs-refs-preds-1000-examples,0,,160,0.575
checkpoint-3000-inputs-refs-preds-1000-examples,0,,180,0.475
checkpoint-3500-inputs-refs-preds-1000-examples,0,,260,0.47884615384615387
checkpoint-4000-inputs-refs-preds-1000-examples,0,,100,0.305
checkpoint-4500-inputs-refs-preds-1000-examples,0,,260,0.4269230769230769
checkpoint-5000-inputs-refs-preds-1000-examples,0,,120,0.2916666666666667
checkpoint-5500-inputs-refs-preds-1000-examples,0,,240,0.48125
checkpoint-6000-inputs-refs-preds-1000-examples,0,,260,0.48653846153846153
checkpoint-6500-inputs-refs-preds-1000-examples,0,,220,0.42045454545454547
checkpoint-7000-inputs-refs-preds-1000-examples,0,,180,0.45555555555555555
checkpoint-7500-inputs-refs-preds-1000-examples,0,,160,0.4625
checkpoint-8000-inputs-refs-preds-1000-examples,0,,180,0.5138888888888888
checkpoint-8500-inputs-refs-preds-1000-examples,0,,140,0.43214285714285716
checkpoint-9000-inputs-refs-preds-1000-examples,0,,240,0.575
checkpoint-9500-inputs-refs-preds-1000-examples,0,,280,0.4392857142857143
