model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,300,0.825
gemma-2-9b-checkpoint-9000-inputs-refs-preds-examples_2500,0,,300,0.7233333333333334
gemma-2b-checkpoint-5000-inputs-refs-preds-examples_2500,0,,320,0.3015625
llama-2-13b-chat-norwegian-checkpoint-3000-inputs-refs-preds-examples_2500,0,,320,0.64375
llama-3.1-8b-instruct-checkpoint-500-inputs-refs-preds-examples_2500,0,,360,0.5291666666666667
nb-gpt-j-6b-checkpoint-3000-inputs-refs-preds-examples_2500,0,,380,0.18421052631578946
normistral-11b-checkpoint-1000-inputs-refs-preds-examples_2500,0,,380,0.5039473684210526
norskgpt-llama3-8b-checkpoint-500-inputs-refs-preds-examples_2500,0,,220,0.3613636363636364
norwai-mistral-7b-instruct-checkpoint-8000-inputs-refs-preds-examples_2500,0,,320,0.409375
viking-13b-checkpoint-4000-inputs-refs-preds-examples_2500,0,,300,0.5683333333333334
