model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,280,0.7821428571428571
checkpoint-1000-inputs-refs-preds-1000-examples,0,,140,0.4107142857142857
checkpoint-10000-inputs-refs-preds-1000-examples,0,,200,0.4675
checkpoint-1500-inputs-refs-preds-1000-examples,0,,140,0.7071428571428572
checkpoint-2000-inputs-refs-preds-1000-examples,0,,260,0.34423076923076923
checkpoint-2500-inputs-refs-preds-1000-examples,0,,160,0.265625
checkpoint-3000-inputs-refs-preds-1000-examples,0,,180,0.44722222222222224
checkpoint-3500-inputs-refs-preds-1000-examples,0,,260,0.4826923076923077
checkpoint-4000-inputs-refs-preds-1000-examples,0,,100,0.345
checkpoint-4500-inputs-refs-preds-1000-examples,0,,260,0.47115384615384615
checkpoint-5000-inputs-refs-preds-1000-examples,0,,120,0.475
checkpoint-5500-inputs-refs-preds-1000-examples,0,,240,0.5895833333333333
checkpoint-6000-inputs-refs-preds-1000-examples,0,,260,0.5480769230769231
checkpoint-6500-inputs-refs-preds-1000-examples,0,,220,0.4818181818181818
checkpoint-7000-inputs-refs-preds-1000-examples,0,,180,0.4027777777777778
checkpoint-7500-inputs-refs-preds-1000-examples,0,,160,0.325
checkpoint-8000-inputs-refs-preds-1000-examples,0,,180,0.5083333333333333
checkpoint-8500-inputs-refs-preds-1000-examples,0,,140,0.6714285714285714
checkpoint-9000-inputs-refs-preds-1000-examples,0,,240,0.5458333333333333
checkpoint-9500-inputs-refs-preds-1000-examples,0,,280,0.5285714285714286
