model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,720,0.6784722222222223
gemma-2-9b-checkpoint-9000-inputs-refs-preds-examples_2500,0,,912,0.5975877192982456
gemma-2b-checkpoint-5000-inputs-refs-preds-examples_2500,0,,924,0.4155844155844156
llama-2-13b-chat-norwegian-checkpoint-3000-inputs-refs-preds-examples_2500,0,,1044,0.6144636015325671
llama-3.1-8b-instruct-checkpoint-500-inputs-refs-preds-examples_2500,0,,1056,0.5151515151515151
nb-gpt-j-6b-checkpoint-3000-inputs-refs-preds-examples_2500,0,,984,0.36077235772357724
normistral-11b-checkpoint-1000-inputs-refs-preds-examples_2500,0,,1116,0.4722222222222222
norskgpt-llama3-8b-checkpoint-500-inputs-refs-preds-examples_2500,0,,1032,0.4428294573643411
norwai-mistral-7b-instruct-checkpoint-8000-inputs-refs-preds-examples_2500,0,,1068,0.425561797752809
viking-13b-checkpoint-4000-inputs-refs-preds-examples_2500,0,,936,0.5336538461538461
