dokument_id,batch_id,tittel,oppsummering,personer,nokkelord,nyhetsverdi
3dbe8db1-4fe9-5f5a-843b-2a3c32b06a0b,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Kommunestyret 22.05.2024: Sakslister og viktige temaer for behandling,"Kommunestyret skal behandle saker som omhandler økonomisk omstilling, finansrapport, handlingsprogram, selvmordsforebygging, kulturmiljø, avløpsdirektiv, European Youth Capital 2026, ungdomsråd, valg, og representantforslag.",Markus Akselbo,"Kommunestyret,sakslister,økonomi,selvmordsforebygging,kulturmiljø,avløpsdirektiv,European Youth Capital,valg,representantforslag",70
fe2ae7c1-cefb-5dbc-93cf-fa5973a9f098,batch_LLbPsZZBENCMrFtt4dfpCZyh,Bergen kommune: Byrådets møte med vedtak om eiendomsskatt og arealplaner,"I møtet behandlet Bergen kommunes byråd ulike saker, inkludert klager på eiendomsskatt og godkjenning av arealplaner. Vedtak ble fattet om opphevelse av fritak for eiendomsskatt og detaljregulering av områder i Ytrebygda og Bergenhus. Saker om klager på tillatelser til endringer og utvidelser ble også behandlet.","Christine B. Meyer,Marte Joan Monstad,Reidar Digranes,Jacob Mæhle,Charlotte Spurkeland","Bergen kommune,byrådsmøte,eiendomsskatt,klager,arealplaner",70
36c02720-cabe-579d-8bd1-ecf93eb9013a,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Kommunedirektøren får krav om å iverksette økonomiske tiltak og omstilling i Tromsø kommune,"Kommunestyret i Tromsø ber kommunedirektøren om å utrede konsekvensene av underskuddet fra 2023 og legge frem tiltak for å redusere merforbruk. Dette inkluderer blant annet nedtrekk av årsverk, reduksjon av driftsutgifter, utsettelse av innkjøp og økning av disposisjonsfondet. Flertallet stemte for de foreslåtte tiltakene, med noen få motstemmer.","Leif Martin Haugen,Viljar Hanssen","Kommunedirektøren,økonomisk omstilling,Tromsø kommune,nedtrekk av årsverk,driftsutgifter,innkjøp,disposisjonsfond",85
21047408-fabe-5436-aba5-5549ea96e477,batch_LLbPsZZBENCMrFtt4dfpCZyh,Bergen kommune: Byrådets innstilling til bystyret om ulike klager på vedtak og reguleringssaker,"Byrådet i Bergen kommune skal behandle ulike saker med innstilling til bystyret, blant annet halvårlig rapportering om vedtak av prinsipiell betydning og klager relatert til eiendomsskatt, arealplaner, bruksendring og dispensasjoner for boliger.","","Bergen kommune,Byrådets innstilling,Bystyret,Klagesaker,Vedtak,Reguleringssaker",65
61c9ce81-c41d-5c2f-ac8e-2d54ab2d7a79,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Finansrapport Pr. 31.03.2024: Kommunestyret Tar Rapporten Til Orientering,Kommunestyret har i møtet den 22.05.2024 behandlet og vedtatt å ta Finansrapporten pr. 31.03.2024 til orientering.,Erlend Losnegaard Mevik,"Finansrapport,Kommunestyret,Vedtak,Orientering",25
2c0c38de-4f15-568f-9143-2cf55360ef0e,batch_LLbPsZZBENCMrFtt4dfpCZyh,Vedtak om rapportering for første halvår 2024,Byrådet har behandlet saken vedrørende rapporteringen for første halvår 2024 og innstiller til bystyret å ta den fremlagte rapporten etter kommuneloven til orientering.,"Byrådet,Bystyret","Vedtak,Rapportering,Første halvår 2024,Kommuneloven",65
6143eb1e-2701-525a-96d3-95a5c5907fec,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Kommunestyret vedtar omstridt omdisponering av midler i Tenk Tromsø Handlingsprogram 2024-2028,"Kommunestyret i Tromsø har vedtatt å omprioritere prosjektet Blå bybane til fordel for et nytt prosjekt kalt Trafikkpakke Tromsdalen. Dette innebærer omdisponering av 46 millioner kr fra 2025 og fremover. Vedtaket ble gjort etter en votering der flertallet støttet forslaget. Handlingsprogrammet vil legge opp til økte egenandeler og finansiering inkludert låneopptak for perioden 2024-2028, med årlige revisjoner og krav om at endringer følges opp.",Markus Halftan Akselbo,"Tromsø,Kommunestyret,Handlingsprogram 2024-2028,Blå bybane,Trafikkpakke Tromsdalen,Votering,Egenandeler,Finansiering,Årlig revisjon",85
fa459329-403a-5130-98ec-ecfad378e03e,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Kommunedelplan for bærekraftig bevaring av kulturmiljø vedtatt i Tromsø,"Kommunedelplanen for kulturmiljø i Tromsø fokuserer på å bevare viktige kulturminner, -miljø og -landskap for samfunnet. Planen inneholder strategier for ombruk av bygninger og materialer, med vekt på stedsutvikling og grønn omstilling. Gjennom grundig medvirkning fra lokale og fagmiljøer, samt konkrete tiltak for informasjonsformidling og kulturmiljøvern i arealplanleggingen, søker planen å øke bevisstheten rundt kulturarv og bidra til bærekraftig samfunnsutvikling.","Bodil Ruud,Stig Tore Johnsen,Mette Mohåg","Kommunedelplan,kulturmiljø,bevaring,bærekraft,ombruk,grønn omstilling,lokalmiljø,fagmiljø,informasjonsformidling,arealplanlegging,kulturarv,samfunnsutvikling",85
b89ee73e-60df-5723-8d0d-dbe8170ff389,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Kommunedelplan for kulturmiljø vedtatt av Kommunestyret,Kommunedelplan for kulturmiljø for perioden 2023-2032 ble vedtatt av Kommunestyret etter en enstemmig votering. Vedtaket er hjemlet i plan- og bygningsloven.,Bodil Ruud,"Kommunedelplan,Kulturmiljø,Vedtak,Enstemmig votering,Plan- og bygningsloven",70
41343805-1b6c-5a78-aafb-7f0c9a1cbeba,batch_LLbPsZZBENCMrFtt4dfpCZyh,Byrådet annullerer fritak for eiendomsskatt - sak 241/24,Byrådet har besluttet å oppheve fritaket for Odd Fellowhuset Bergen AS sin eiendom i Krabbedalen 66. Vedtaket innebærer at fritaket fra 31. januar 2024 blir annullert med virkning fra 01.01.2025.,Odd Fellowhuset Bergen AS,"byrådet,vedtak,eiendomsskatt,gnr. 143,bnr. 598,fritak,Odd Fellowhuset Bergen AS,Krabbedalen 66",65
7f33fdb5-86b6-522c-aa83-b4a5cf5cbc95,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Etablering av Grøtsund Industripark AS: Kommunestyret vedtar prinsipper for eierskap,"Kommunestyret har vedtatt etablering av Grøtsund Industripark AS, der kommunen blir eier av 50% av aksjene. Det var diskusjoner om habilitet, produksjon av hydrogen- og ammoniakk, samt endringsforslag angående eierskapsperspektivet. Vedtaket inkluderer også valg av representanter til styret og avklaring av eiendommer for kapitalisering.","Tor Arne Morskogen,Hanne Stenvaag,Barbara Vögele,Viljar Hanssen","Grøtsund Industripark AS,kommunestyret,eierskap,hydrogenproduksjon,endringsforslag,habilitet,aksjekapital",70
4d6db7c3-11c5-5d66-a7e8-fd31c64df0cb,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Handlingsplan for kjønns- og seksualitetsmangfold 2024-2027 vedtatt i Tromsø,"Kommunen i Tromsø vedtar handlingsplan for kjønns- og seksualitetsmangfold for å fremme folkehelse, inkludering og sosial bærekraft. Planen skal følge opp kommunens plikter i henhold til Opplæringsloven og Likestillings- og diskrimineringsloven. Evaluering viser utilstrekkelig oppfølging av tidligere planer, med hovedfokus på kompetanseheving. Midler skal samles i prosjektutlysning for bedre gjennomføring og koordinering av tiltak.","Stig Tore Johnsen,Kari Henriksen","Handlingsplan,kjønns- og seksualitetsmangfold,Tromsø kommune,evaluering,kompetanseheving,prosjektutlysning",85
c4809fce-7ecc-58f6-ab6d-5e56aa28b058,batch_LLbPsZZBENCMrFtt4dfpCZyh,"Klage På Vedtak I Eiendomsskattesak For Gnr. 164, Bnr. 1448","Saken om klage på vedtak i eiendomsskattesak for eiendommen Gnr. 164, Bnr. 1448, Dokkeboder 1, ble behandlet av byrådet i møtet 29.08.2024. Byrådet innstiller på opphevelse av tidligere vedtak og tilbakekalling av fritak fra eiendomsskatt for BIR AS/BIR NETT AS.","BIR AS,BIR NETT AS","Klage,Vedtak,Eiendomsskatt,Gnr. 164,Bnr. 1448,Byrådet,Møte,Opphevelse,Fritak",75
0cae1832-7f14-5be6-8c8a-7eda55024f78,batch_LLbPsZZBENCMrFtt4dfpCZyh,"Ytrebygda, Gnr. 107, Bnr. 26 m.fl., Smalhushaugen: Detaljreguleringsplan vedtatt av Byrådet","Byrådet har vedtatt detaljreguleringsplanen for Ytrebygda med endringer i reguleringsbestemmelsene angående takflater, beplantning, overvannshåndtering og solenergianlegg.","","Ytrebygda,Gnr. 107,Bnr. 26,Detaljreguleringsplan,Reguleringsbestemmelser,Takflater,Beplantning,Overvannshåndtering,Solenergianlegg",70
5e53751b-2c8d-5502-9818-9ba939c04efd,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Handlingsplan for kjønns- og seksualitetsmangfold 2024-2027 vedtatt av Kommunestyret,"Kommunestyret har enstemmig vedtatt handlingsplanen for kjønns- og seksualitetsmangfold i Tromsø for perioden 2024-2027. Planen inneholder tiltak for å forebygge vold og diskriminering, fremme likestilling, og jobbe for respekt og trygghet for seksuelle minoriteter.",David Moen,"Handlingsplan,kjønns- og seksualitetsmangfold,likestilling,forebygge vold og diskriminering,Tromsø kommune",88
9c4886bc-8ecd-531d-95a3-8e4dc67884dc,batch_LLbPsZZBENCMrFtt4dfpCZyh,Midlertidig rammetillatelse for bruksendring til skole i Bergenhus - Klage behandlet av Byrådet,"Byrådet har vedtatt å endre den midlertidige rammetillatelsen for bruksendring til skole i Bergenhus til å ha en tidsbestemt varighet på fem år. Klagen ble ikke tatt til følge, og saken oversendes Statsforvalteren i Vestland for endelig avgjørelse.","","Midlertidig rammetillatelse,Bruksendring,Skole,Klage,Byrådet,Vestland",70
0cda3da5-118e-51fd-bc25-3e84af1b33b2,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Eus reviderte avløpsdirektiv og samferdselsprosjekter diskutert i Kommunestyret,Kommunestyret har behandlet EUs reviderte avløpsdirektiv som krever strengere rensekrav for byområdet. Samordning med pågående prosjekter innenfor samferdsel og teknisk infrastruktur kan føre til betydelige besparelser ved etablering av ny avløpstransportstruktur. Saken ble utsatt til neste møte for videre behandling.,Rune Lejon,"EØS avløpsdirektiv,samordning,samferdselsprosjekter,besparelser,avløpstransportstruktur",65
15568024-e23f-5f72-9900-6ddace3bda2f,batch_LLbPsZZBENCMrFtt4dfpCZyh,Klage på avslått søknad om omdisponering av lekeareal til gårdsplass/parkeringsplass,Byrådet har behandlet en klage angående avslått søknad om omdisponering av lekeareal til gårdsplass/parkeringsplass for eiendommen Fana gnr 10 bnr 819 på Øvre Sædalsvegen 14-16. Byrådet har besluttet å opprettholde sitt tidligere vedtak datert 10.04.2024.,"","Fana gnr 10 bnr 819,Øvre Sædalsvegen 14-16,klage,avslått søknad,lekeareal,gårdsplass,parkering",60
15810fb2-1667-5acc-9e2e-1bebf36037c8,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Tromsø som European Youth Capital 2026,"Kommunestyret har vedtatt en tverrsektoriell satsing for Tromsø som European Youth Capital 2026, med organisering av prosjektet innenfor kommunen og innarbeidelse av midler i budsjettarbeidet for 2025-2028.",Sif Vik,"Tromsø,European Youth Capital,Kommunestyret,vedtak,satsing,budsjettarbeid",85
b6263da8-cb44-5312-880c-9a8193dcb899,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Årsmelding for Tromsø Ungdomsråd 2023 tas til orientering av kommunestyret,"Kommunestyret behandler årsmeldingen for Tromsø ungdomsråd i 2023. Ungdomsrådet har utarbeidet årsmelding med oversikt over medlemmer, arbeidsutvalg, hovedsaker og gjennomførte aktiviteter i perioden.","Stig Tore Johnsen,Mari Enoksen Hult","Tromsø Ungdomsråd,årsmelding,kommunestyret,medvirkningsordninger",55
43c1a7a1-e41b-58de-a5ce-ca8ad7261175,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Årsmelding for Tromsø Ungdomsråd 2023 tatt til orientering av Kommunestyret,Kommunestyret har enstemmig vedtatt å ta årsmeldingen for Tromsø Ungdomsråd 2023 til orientering under møtet den 22.05.2024.,Rebekka Ringholm,"Kommunestyret,Tromsø Ungdomsråd,årsmelding,vedtak",50
1c117df5-6a2f-5ae2-8bc4-d3695ee63d61,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Plan for forvaltningsrevisjon og eierskapskontroll i Tromsø kommune for perioden 2024-2028,"Kontrollutvalget har vedtatt en omfattende plan for forvaltningsrevisjon og eierskapskontroll i Tromsø kommune fra 2024 til 2028. Planen inneholder ulike områder som skal gjennomgås grundig, fra helse- og omsorgstjenester til arbeidet med små fiskerihavner.","Line Vatne,Gunnar Wilhelmsen","forvaltningsrevisjon,eierskapskontroll,Tromsø kommune,plan 2024-2028",75
c4851688-ad8f-5f06-a46c-f109adbea833,batch_CzLyq6aM8DxxhqaDYGXWpV4z,Kommunestyret vedtar plan for forvaltningsrevisjon og eierskapskontroll,"Kommunestyret har vedtatt en omfattende plan for forvaltningsrevisjon og eierskapskontroll for perioden 2024-2028. Planen inkluderer viktige temaer som helse- og omsorgstjenester, samhandling for barn og unge, og kontroll av kommunale selskaper.","Line Vatne,Barbara Vögele,Pål Julius Skogholt","Kommunestyret,forvaltningsrevisjon,eierskapskontroll,vedtak,plan 2024-2028",80
dd435b28-4ece-5a47-9e40-39805c26fb62,batch_LLbPsZZBENCMrFtt4dfpCZyh,Klage på rammeløyve til trafikksikringstiltak avslått,"Byrådet har behandlet klagen angående rammeløyve til trafikksikringstiltak på Totlandsvegen i Fana, men har valgt å opprettholde Fagetaten sitt vedtak datert 18.04.2024. Klageren får ikke medhold i saken.","","Fana,gnr. 44,bnr. 893,Totlandsvegen,klage,rammeløyve,trafikksikringstiltak,byrådet,utval for miljø og byutvikling",40
